combinations	{Bungay2003}	{Bungay2006}	{Bungay2006a}	{Eungdamrong2007}	{Froehlich2018}	{Holzhutter2004}	{Hui2014}	{Lai2014}	{Leber2015}	{Levchenko2000a}	{Liu2011}	{Nakakuki2010}	{ODea2007}	{Ouzounoglou2014}	{Pathak2013}	{Pathak2013a}	{Pritchard2002}	{Proctor2010a}	{Proctor2013a}	{Qi2013a}	{Sasagawa2005}	{Sengupta2015}	{Singh2006}	{Sivakumar2011c}	{Ueda2001}	{Ung2008}	{Yang2007}	{aguda1999_fig5c}	{alexander2010_fig2-user}	{alexander2010_fig2-user-2}	{alsheihk2011_fig3-user}	{alsheihk2011_fig4-user}	{alsheihk2011_fig5-user}	{alsheihk2011_fig6-user}	{alsheihk2011_fig7-user}	{bachar2004_fig1-user}	{bachmann2011}	{bachmann2011_figs9-user}	{balagadde2008_fig2-user}	{band2012_figs19-user}	{becker2010_fig2b-user}	{becker2010_figs4-user}	{beuke2017_fig6}	{bier2000_fig3-user}	{bindschadler2001_fig5b-user}	{borghans1997_fig12a-user}	{borghans1997_fig5-user}	{brands2002_fig2-user}	{bucher2011_fig2-user}	{bungay2003_fig4-user}	{bungay2006_fig3a-user}	{bungay2006_fig3b-user}	{butenas2004_fig1-user}	{chance1943_fig12-user}	{chassagnole2002_fig4-user}	{chassagnole2002_fig5-user}	{delcontezerail2008_fig4-user}	{dupont1992_fig4-user}	{essunger1994_fig2-2}	{essunger1994_fig4}	{essunger1994_fig5}	{essunger1994_fig6-user}	{essunger1994_fig8}	{ferreira2003_fig2f-user}	{fisher2006_fig3a}	{fraser2002_fig1a_1b_2a_2b}	{fuentes2005_fig1a-user}	{fung2005_fig3a}	{gardner1998_fig4b-user}	{goldbeter1991_fig3-user}	{goldbeter2006_fig3a-user}	{gorlich2003_fig4-user}	{hald2012_fig5-user}	{hatakeyama2003_fig5-user}	{hernandezvargas2013}	{ho1995_fig3}	{hockin1999_fig7a-user}	{hockin2002_fig3-user}	{hornberg2005_fig2a-user}	{ihekwaba2004_fig5-user}	{jiang2007_fig2-user}	{karin2017_fig1c}	{karin2017_fig1g}	{karin2017_fig2}	{kholodenko1999_fig4b-user}	{kholodenko2000_fig2a-user}	{kim2011_figs5-user}	{kirschner1998_fig2-user}	{kofahl2004_fig3-user}	{kolodkin2010_figure2b}_89	{kolodkin2010_figure2b}_90	{kolodkin2010_figure2b}_91	{kolodkin2010_figure2b}_92	{kolodkin2010_figure2b}_93	{kolodkin2010_figure2b}_94	{kouril2017_fig1a}	{kouril2017_fig2b}	{kouril2017_fig3b}	{kouril2017_fig4b}	{kouril2017_fig4c}	{kowald2006_fig2-user}	{laub1998_fig3top-user}	{lebeda2008_fig1-user-2}	{lee2010_fig3-user}	{lee2010_figs6-user}	{lee2010_figs9-user}	{leloup1999_fig2a}	{leloup2003_fig2a}	{levchenko2000_fig2-user}	{levchenko2000_fig2-user}	{levering2012_fig2-user}	{levering2012_fig5-user}	{liu2011_fig5a-user}	{lou2009_fig2-user}	{ma2002_fig2-user}	{marhl2000_fig2-user}	{martins2003_fig6-user}	{marwan2003_fig5b-user}	{mcauley2012_fig1b-user}	{mellor2012_fig3a-user}	{miao2008_fig1}	{montanez2008_fig3a-user}	{moriya2011_fig7c-user}	{morris2002_fig1b-user}	{naresh2011_fig11to13-user}	{naresh2011_fig6to7-user}	{naresh2011_fig8to10-user}	{neves2008_figs1-user}	{nyman2012_fig5-user}	{odea2007_fig3-user}	{orfao2008_fig2-user}	{ouattara2008_fig3}	{panteleev2002_fig1-user}	{panteleev2002_fig2a-user}	{panteleev2002_fig3a-user}	{perelson1993_fig11-user}	{perelson1993_fig2and3-user}	{perelson1996_fig1b_top}	{piedrafita2010_fig2-user}	{ribeiro2008_fig4-user}	{saeidi2012_fig4a-user}	{sarma2012_fig3c-user}	{sarma2012_fig3f-user}	{sarma2012_fig5a-user}	{sarma2012_fig5atod-user}	{sarma2012_fig5b-user}	{sarma2012_fig5c-user}	{sarma2012_fig5d-user}	{schilling2009_fig1b-user}	{teusink1998_fig3candd-user}	{tiago2010_fig2_fe_adequate-user}	{tiago2010_fig2_fe_deficient}	{tiago2010_fig2_fe_loaded-user}	{tiago2010_fig3_fe_adequate-user}	{tiago2010_fig3_fe_deficient}	{tiago2010_fig3_fe_loaded-user}	{tripathi2007_fig7_10to7_11-user}	{tripathi2007_fig7_4-user}	{tripathi2007_fig7_5to7_7-user}	{tripathi2007_fig7_8to7_9-user}	{valero2006_fig1aandb}	{vanheerden2014_fig4-user}	{wang2012_fig1and2-user}	{xie2007_fig3-user}	{zhao2013_fig3a-user}	{zi2007_fig2d-user}
1_7_16_08	206.367	132.6395	83.0855	1328.1095	1176.378	53.254	14.92	140.9635	244.041	28.3845	214.788	0	14.367	80.863	4.2805	3.4225	69.855	0	0	0	200.228	31.0605	0	17.9175	3.397	0	0	6.064	1.869	1.958	1.7225	1.729	2.333	1.7655	2.312	1.474	82.997	93.106	2.578	1.3935	1.5715	1.469	1195.074	5.718	7.587	42.046	22.5085	1.765	30.7185	133.7875	84.304	132.425	48.6795	1.52	565.0845	564.3055	4.055	7.2155	2.6855	4.506	3.649	5.002	4.1065	2.535	3.5285	2.198	1.4175	26.9105	2.405	6.423	3.37	5.549	790.16725	737.8155	5.693	1.162	11.426	25.6414166667	2.6125	11.717	597.5895	1.4435	1.5775	26.381	4.702	7.434	13.23	2.4445	160.183	2.05	8.125	8.984	5.4625	8.067	10.623	1.1575	1.4165	2.1815	3.7475	6.8815	0	1.904	1.455	22.0425	19.8435	1.4665	4.954	8.4885	4.8135	1410.5905	910.4555000001	344.326	213.3483333333	1.4375	2.0625	11.912	2.364	2.166	30.6105	1.7782	1.569	1.6225	248.1605	1.4725	1.379	1.431	1.3885	17.4425	25.9265	9.019	6.497	1.4195	7.9208	6.8785	5.816	3.889	4.481625	1.5325	10.2455	1.303	7.6616666667	19.5015	26.1995	57.5696666667	50.53225	39.814	4.6495	17.5175	47.0665	1.7505	2.754	2.8665	2.735	2.78	2.87	2.712	1.4185	1.39	1.38	1.3705	3.324	3.177	13.664	29.726	1.7825	5.3015
1_8_08_06	203.056	125.674	58.0035	1975.6965	0	44.8485	9.432	32.7805	82.6645	23.1235	166.076	0	5.705	147.7725	3.8005	3.451	118.986	0	623.782	0	314.3115	27.099	0	14.733	3.009	1559.1425	782.8265	5.4325	1.5515	1.742	1.523	1.5165	1.855	1.539	1.833	1.311	58.0605	42.747	2.065	1.393	1.5015	1.4005	1501.5800000002	4.1825	3.6525	29.9425	18.01	1.7145	116.5975	117.639	56.2995	129.637	10.6095	1.457	425.851	425.439	3.7185	4.5225	2.925	3.8575	3.4595	4.604	3.4155	1.6685	2.8755	2.6885	1.3225	15.026	1.809	4.3135	2.5885	4.337	560.3835	1264.853	5.2625	1.148	7.448	17.9331666667	1.77	9.189	446.4445	1.4185	1.5265	18.2855	3.9545	5.7325	11.339	2.0855	141.6365	1.906	4.135	6.379	5.1035	5.792	6.941	1.072	1.409	2.151	3.3165	4.991	11.093	1.6395	1.424	13.9215	9.375	1.4365	4.0905	6.0395	8.4073571429	6.5665	610.6564999997	307.123	148.5565	1.4405	1.5945	8.7645	1.888	1.9695	34.5776666667	1.3293	1.5275	1.5325	213.6445	1.0745	1.3515	1.39375	1.446	16.605	22.576	9.081	4.189	1.3145	5.44895	5.3235	5.6395	3.3645	3.9235	1.4995	8.675	1.269	3.6773333333	16.3735	22.7985	75.4628333333	43.80825	39.474	6.073	17.226	18.9065	1.654	2.247	2.193	2.196	2.2355	2.2005	2.1875	1.2855	1.304	1.316	1.3125	2.4425	2.4575	11.0965	28.986	1.745	4.9845
1_8_10_14	458.2765	315.346	173.4375	0	0	85.0715	63.5195	84.208	0	42.299	1067.075	5442.7569999999	12.299	299.616	21.4965	21.417	404.5685	0	0	0	441.616	77.1005	0	35.788	8.767	5902.438	0	12.86	5.493	6.2465	4.4	4.421	4.379	4.541	4.4005	2.4415	1091.042	1175.7985	5.3865	1.4205	2.083	1.3655	7491.9875000001	11.2165	23.909	64.927	42.509	1.7235	0	295.008	181.5925	319.928	12.8015	1.5085	2393.4660000001	2389.1885	7.015	12.9645	4.1125	11.515	10.855	21.546	11.969	1.788	4.361	6.0495	1.3125	67.7805	3.6505	7.716	5.9505	10.1115	4198.8245000001	3678.3049999998	20.0165	1.2215	6.622	12.5775833333	2.5935	18.0515	641.8275	1.6195	1.804	60.633	8.328	19.508	26.3785	6.301	589.5745	2.175	29.329	22.269	10.4615	41.87	49.81	1.2755	1.4415	2.535	7.696	13.2	18.392	3.2685	1.4625	57.901	43.925	1.4455	9.9365	16.632	6.5665	0	3775.3760000001	1341.6194999999	1029.5506666667	1.497	3.1255	20.848	3.2505	3.1725	606.1710833333	1.3826	1.649	2.1255	503.9745	1.1625	3.1225	2.11275	1.9745	53.8195	135.2405	13.3755	8.1115	5.539	16.71635	15.3775	9.804	9.5765	7.796625	1.834	19.61475	1.237	4.181	48.75	78.265	211.1836666666	145.414875	177.7765	9.4755	34.267	99.7465	2.378	4.211	4.2055	4.156	4.259	4.253	4.182	2.187	2.8885	2.455	2.14	4.459	3.8155	44.8565	65.616	2.3635	14.692
1_8_12_10	480.654	285.6315	194.866	0	0	144.9	42.185	627.2295	0	56.556	0	3739.7035000001	24.598	213.2995	11.0115	14.156	481.9875	0	0	0	628.527	80.735	0	47.579	8.69	0	0	13.6665	2.604	2.673	2.428	2.417	3.83	2.599	3.809	1.882	343.994	353.2375	5.0855	1.418	1.756	1.444	5852.0345000003	11.112	25.1915	98.8765	49.941	1.7735	102.416	279.8305	176.9105	293.751	21.719	1.624	2410.737	2400.7665000001	7.55	13.0935	4.7695	8.4055	7.567	11.062	8.1525	2.192	5.817	3.6285	1.3905	69.88	4.878	11.8635	7.132	10.719	4327.474	2440.8269999999	10.9385	1.162	9.1205	15.5035	3.076	22.6935	996.028	1.4785	1.7695	47.8875	7.404	15.379	29.954	3.749	515.422	2.855	60.714	22.0815	10.9675	72.6885	47.418	1.355	1.452	3.2405	7.8175	17.7125	0	3.3215	1.52	78.353	62.59	1.4905	11.1875	19.6235	6.7225	5.5585	3762.8204999999	1302.2595000001	0	1.492	3.505	25.331	3.482	2.548	192.39475	3.1781	1.6125	1.8065	637.722	1.2095	1.458	1.55	1.52	43.9205	126.8855	19.0935	11.3165	1.768	18.20835	15.269	15.771	6.854	8.83775	1.5575	21.52875	1.2955	5.4021666667	38.888	61.9005	190.5626666667	117.268125	143.0995	7.91	37.235	107.25	2.4045	4.1265	4.111	4.098	4.1125	4.1325	4.081	1.5905	1.5205	1.6525	1.6325	3.816	3.582	30.1265	68.4705	1.849	12.1325
1_8_16_08	420.187	241.376	147.8355	4749.8925000001	0	196.676	60.754	0	296.1785	47.898	0	0	34.3945	120.668	14.9035	9.72	151.625	0	0	0	0	63.592	0	44.7705	5.2325	2470.0195	0	10.0175	2.081	2.125	1.887	1.9145	2.866	1.951	2.8435	1.4955	147.5975	146.9795	3.1715	1.403	1.6185	1.4705	4570.5220000004	7.1025	15.209	58.144	30.964	1.719	73.9605	251.0185	150.352	244.114	67.915	1.5495	1101.0165	1102.4755	5.1985	8.023	3.4375	6.3225	5.551	7.8465	5.447	5.759	4.1615	2.68275	1.3975	38.4835	3.0155	8.092	4.3135	9.631	1518.021	1789.1774999999	7.526	1.158	19.5295	52.70525	2.449	17.7345	949.7975	1.415	1.6025	42.095	6.1165	9.716	24.384	2.741	322.2435	2.4305	8.7485	13.4605	9.163	17.872	18.719	1.1825	1.4085	2.5135	5.277	11.5845	0	2.038	1.4685	45.1635	41.377	1.458	6.4815	11.3705	5.5585	0	1927.2125	828.371	0	1.444	2.224	15.549	2.929	2.101	68.6913333333	2.4981	1.5775	1.64	448.0195	1.5875	1.383	1.4245	1.457	30.813	62.34	14.247	8.83	1.418	10.7754	10.937	9.0325	5.227	5.74775	1.5025	17.2665	1.2965	9.2206666667	26.799	38.8705	130.3378333333	81.549	83.6845	7.264	28.1975	65.2865	1.873	3.001	3.1255	2.969	3.0205	3.177	3.007	1.3965	1.4025	1.4205	1.3695	2.9405	2.885	18.8835	46.091	1.7825	8.448
1_9_08_06	32.848	31.699	13.787	37.7575	0	1.8125	4.4365	3.5225	11.1785	10.47	25.1685	0	1.236	13.05	1.267	1.042	15.065	208.8485	0	208.1865	17.293	17.6355	0	3.2615	0.9035	0	24.9895	2.7455	1.721	1.7305	1.6205	1.604	1.696	1.6175	1.6985	1.5455	8.339	8.5245	2.035	1.4685	1.774	1.6555	22.0545	3.214	2.618	12.674	7.815	2.0245	3.8465	28.576	12.7995	28.416	0	1.7845	19.4225	19.303	1.829	2.5875	2.2865	2.481	1.665	2.2115	1.6785	2.015	2.355	2.1545	1.516	6.333	1.727	2.444	1.958	1.996	120.60775	67.5285	2.389	1.2325	2.423	2.6680833333	2.033	5.046	78.4235	1.6015	1.775	2.865	2.777	3.937	4.385	1.446	22.984	1.2325	1.673	2.487	1.8865	1.822	2.207	1.2995	1.5165	1.593	1.703	1.9835	1.8105	1.761	1.6535	2.53	2.164	1.582	2.561	3.2445	4.4252857143	3.4205	31.5265	14.181	23.7961666667	1.619	1.9435	3.843	2.195	2.3925	3.87275	1.7916	1.721	1.662	38.89	1.2505	1.6935	1.64225	1.701	5.3675	3.513	2.7625	1.9385	1.645	2.1247	2.365	2.406	1.8635	1.779875	1.71	2.728	1.3865	1.6201666667	6.8065	10.9415	9.1023333333	19.33475	6.131	1.906	4.353	7.193	1.804	2.371	2.4275	2.4275	2.4005	2.3835	2.421	1.629	1.6085	1.635	1.7485	1.5935	1.8525	6.762	8.913	2.001	2.494
1_9_10_14	169.4145	119.2475	65.331	0	0	6.025	14.691	21.8595	249.3055	17.8955	298.134	0	3.142	83.8145	3.6205	3.087	36.818	0	0	0	79.742	48.8315	0	8.5365	2.084	0	0	7.0045	3.2255	3.1665	2.7525	2.7955	2.8125	2.732	2.799	2.1495	335.5105	368.3095	3.7425	1.516	2.036	1.6055	192.6415	8.07	4.8865	23.7835	13.981	1.9565	221.3555	113.149	66.0475	125.6815	3.425	1.8305	185.5745	185.655	2.426	4.8655	2.4905	5.491	4.6155	6.8185	4.586	2.0625	2.582	4.8935	1.523	23.544	2.6905	4.5615	3.968	4.8115	795.17525	450.6625	9.044	1.3075	2.6475	2.7373333333	2.359	9.458	143.606	1.61	1.766	10.5725	4.072	12.0195	9.307	3.4885	170.1145	1.368	12.0315	8.7385	4.1385	16.6815	19.49	1.403	1.529	1.846	3.8915	4.2815	1.702	2.0045	1.66	12.755	11.5265	1.57	3.8625	6.452	3.4205	427.5455	209.1655	162.181	297.9171666667	1.747	2.159	9.4805	2.2995	2.9325	136.7140833333	1.8517	1.825	1.983	120.494	1.4265	1.916	1.9115	1.906	23.1415	35.5795	3.9825	4.2505	2.4955	7.3386	7.0445	4.6485	4.585	4.597	1.759	7.66975	1.3545	1.7385	20.325	37.377	50.821	63.029875	51.037	3.0945	8.914	42.405	2.149	2.868	2.941	2.727	2.9	2.9465	2.741	1.9545	1.8105	2.0685	1.9295	1.995	2.1605	25.321	19.0055	2.0965	7.32
1_9_12_10	155.715	108.9215	61.8775	0	0	18.576	11.142	32.7785	146.159	25.202	162.496	0	6.3335	67.4955	3.471	2.952	48.5635	0	0	0	149.903	37.732	0	11.168	2.232	0	0	7.224	1.95	2.068	1.9565	1.956	2.2285	2.013	2.166	1.669	95.461	100.6395	3.357	1.479	1.8485	1.6555	151.7025	8.1835	5.1315	32.48	15.5425	2.0005	35.9665	106.076	59.544	111.508	4.751	1.8865	175.3885	175.757	2.6455	4.865	2.1465	4.5595	3.326	4.8615	3.4625	2.2135	2.7935	3.69775	1.593	23.284	3.5665	6.2635	4.748	5.579	790.097	317.815	5.588	1.3105	2.848	2.839	2.4145	12.6455	218.1115	1.6245	1.8045	8.7505	3.999	10.1985	11.019	2.5245	143.3815	1.5645	12.251	8.4255	4.3615	16.0985	14.3425	1.489	1.5415	2.041	4.44	6.027	1.9925	1.8815	1.718	23.6915	18.728	1.587	4.421	7.8875	6.1699285714	4.7425	198.4125	129.999	162.7016666667	1.7085	2.0845	10.524	2.361	2.672	27.6749166667	1.8946	1.7985	1.834	150.9175	1.5285	1.723	1.71625	1.7265	18.5645	31.368	7.1715	5.968	1.7415	6.7504	6.4745	5.45	3.6345	4.11125	1.8145	10.0605	1.4155	2.0453333333	17.326	27.2145	44.6655	49.58375	30.84	2.511	9.8415	50.406	2.187	2.9375	2.75	2.8895	2.944	2.8155	2.8895	1.734	1.686	1.768	1.7545	2.1625	2.389	16.5185	21.6545	2.076	5.942
1_9_16_08	119.787	84.3925	51.427	106.5815	0	7.777	9.391	71.6475	83.174	23.697	77.891	0	6.1545	38.8205	1.909	2.0125	21.6545	0	0	0	86.742	28.4765	0	8.8695	1.539	0	0	4.475	1.82	1.8565	1.7515	1.7425	1.9815	1.829	1.967	1.557	38.7555	42.563	2.683	1.4645	1.842	1.6635	93.33	5.4755	3.177	22.561	10.1195	2.0315	10.8835	85.521	53.5265	86.069	27.0055	1.8845	65.4045	65.757	2.06	3.5285	1.903	3.183	2.583	3.4355	2.6235	2.321	2.639	2.9275	1.6005	13.582	2.3165	4.626	2.906	3.439	256.39225	181.941	4.0075	1.27	6.254	16.3395	2.2535	9.777	217.162	1.5805	1.9615	7.1255	3.3075	6.6085	7.2145	1.7255	74.3405	1.4605	3.21	4.831	3.006	5.1135	5.748	1.362	1.5275	2.4065	2.2165	3.08	0	1.8305	1.7415	10.155	10.6955	1.579	3.178	5.099	4.7425	2235.8615000001	91.3315	61.2085	77.0876666667	1.6945	2.0515	6.736	2.4265	2.598	8.3214166667	1.9937	1.742	1.723	97.809	1.611	1.7075	1.68625	1.7125	11.7145	8.1485	4.701	4.7835	1.6535	4.28695	4.156	3.7955	2.801	3.419625	1.7735	6.995	1.401	3.7011666667	11.3335	18.9395	21.8131666667	32.555375	13.4465	2.2995	7.781	25.7835	1.9325	2.6275	2.564	2.5735	2.636	2.5695	2.5745	1.6835	1.65	1.665	1.7445	1.796	1.918	10.727	15.0575	2.042	4.24
2_1_08_06	0	0	0	0	0	2877.488	1302.1005	0	0	1483.3874999999	0	0	90.386	8525.731	1.9835	1.879	0	0	0	0	30220.2450000002	0	0	151.48	1.146	0	0	70.617	0	0	1.9555	1.686	1.917	1.6495	1.917	1.5755	0	0	2.785	1.191	1.4895	1.411	0	4.1865	2.564	15.973	7.595	1.778	2151.4305	0	0	0	0	1.389	4073.8724999999	4084.0385000002	1.8165	2.7655	1308.128	0	0	0	0	1.84	5.9295	0	1.3	320.317	1.633	2.4975	2.031	42.4395	0	0	559.575	1.156	0	0	1.8155	23.467	13976.7885	1.242	1.4085	700.148	4.162	5.7115	6.905	4.151	18916.7385000004	6.768	1274.972	345.0535	489.616	1521.965	846.9654999999	1.2965	1.293	7.6355	45.349	91.108	0	3.471	1.3895	561.7105	362.203	1.341	2.6405	3.615	7.0994285714	5.475	0	7498.7535	0	1.449	1.7615	5.334	2.0405	3.6215	0	1.6495	1.367	1.477	1480.125	1.196	1.4105	1.46825	1.4085	1464.6845	0	98.4085	75.572	589.6805	82.661	85.8625	34.128	1932.1815000001	1316.511875	4.9815	16.5775	1.28	20.0631666667	134.6665	76.694	2870.713	143.077875	1420.0075	34.104	291.0915	1081.8025	1.561	3.102	4.1165	2.6105	3.1255	4.1395	2.5975	1.445	1.43	1.4115	1.426	29.6925	1.7585	8.084	334.8395	1.74	182.0865
2_1_10_14	0	0	0	0	0	893.5435	117.302	0	0	929.923	0	0	64.918	1100.3125	5.422	5.0725	0	0	0	0	0	0	0	41.696	2.5435	0	0	22.15	0	2287.408	4.3835	4.423	4.576	4.512	4.575	3.558	0	0	5.637	1.2295	2.6615	1.4525	0	10.6675	10.79	26.7615	16.9655	1.8855	1433.0815000001	0	0	0	0	1.7265	2172.1735	2167.783	3.5725	6.7005	1102.7875	0	0	0	0	1.9695	6.682	0	1.3285	173.346	4.586	4.318	5.016	21.977	0	0	201.2115	1.169	184.9815	1067.4808333333	3.8425	27.454	8306.6269999999	1.607	1.848	83.7725	12.4355	16.429	13.52	3.829	6174.2384999998	6.5455	1154.584	299.29	394.3425	1164.8545	658.3265	1.5065	1.326	6.425	27.7265	50.381	0	5.652	1.5525	633.0525	394.4515	1.351	7.32	14.119	5.475	2047.3670000001	0	2579.0255	0	1.8055	4.887	11.3375	2.749	5.3865	0	1.6747	5.2645	2.52	504.15	1.2685	2.6675	2.46025	2.663	252.7405	0	73.575	49.9225	783.416	24.29275	23.7235	24.434	1318.8415	1018.492375	8.7685	20.3805	1.277	20.0041666667	56.485	80.3925	1451.0183333334	145.428875	546.965	26.7675	252.276	505.9925	2.0525	5.4545	8.192	3.519	5.4635	8.1895	3.521	3.625	2.658	3.3485	2.806	6.1735	3.747	40.663	76.791	3.3245	51.514
2_1_12_10	0	0	0	0	0	494.2515	669.951	0	0	770.1	0	0	48.68	3862.5475	5.755	4.7685	0	0	0	0	7235.5095	0	0	48.5655	3.0285	0	0	45.1765	0	0	2.6245	2.608	3.7445	2.9615	3.732	2.162	0	0	6.2895	1.218	1.9465	1.4545	0	10.099	11.6915	39.434	20.5205	1.9305	3724.236	0	0	0	1831.5055	1.843	13837.5830000002	13863.401	3.754	7.3885	0	0	0	0	0	2.1555	8.084	0	1.3205	264.159	5.705	6.185	5.5345	26.5895	0	0	381.902	1.187	173.7485	1069.6954166667	3.7715	31.7275	4828.2120000001	1.5375	2.485	233.2895	12.606	13.187	15.8515	4.1335	0	7.1775	2788.8435	496.4985	517.586	4688.98	2407.732	1.5765	1.332	8.6405	38.408	80.0625	0	6.0225	1.863	604.3215	304.6215	1.3985	9.099	16.517	6.2550714286	4.7735	0	0	0	1.4875	4.9805	13.148	4.281	5.6665	0	1.8184	1.415	1.68	681.537	1.353	1.7055	1.792	1.7325	637.7245	0	59.4095	50.158	2563.8395	58.98335	94.6045	108.0105	0	0	6.8735	23.81275	1.259	18.3496666667	69.513	96.742	2755.6443333334	176.262125	2719.909	34.5215	293.122	935.154	2.164	4.9385	6.092	4.0445	4.919	6.061	4.0115	1.737	1.6425	2.703	1.653	8.4205	4.001	20.247	183.3105	1.8315	98.7035
2_1_16_08	0	0	0	0	0	2704.391	899.1385	0	0	4617.312	0	0	426.553	0	3.223	2.862	0	0	0	0	0	0	0	534.614	1.749	0	0	34.871	0	0	2.129	2.0715	3.939	2.107	3.9575	1.7645	0	0	5.9775	1.189	1.67	1.488	0	6.5165	7.124	26.514	12.277	1.8755	2181.4970000001	0	0	0	2369.2135	1.485	18338.7675000002	18348.3155	2.4985	4.116	7124.9110000005	0	0	0	0	2.409	7.341	0	1.338	0	3.5055	5.063	3.529	144.1395	0	0	1028.2215	1.176	100.054	964.02375	10.4115	45.3995	0	1.277	2.7125	21655.1904999998	5.4685	8.817	10.059	3.933	0	7.1475	1364.877	587.774	523.197	1796.698	1250.8375	1.3485	1.3085	31.5815	583.7895	995.8735	0	4.659	1.4665	30617.5009999999	9427.6029999999	1.4575	5.5365	10.612	4.7735	910.4555000001	0	0	0	1.47	3.754	8.569	2.7635	122.2215	0	2.0993	1.3905	1.534	4042.0125	1.5605	1.5595	1.52725	1.4805	1477.883	0	403.7965	2891.1005	2513.7165000001	178.22435	368.12	126.392	0	1922.618625	6.2695	21.063	1.26	26.5105	85.338	97.3525	6394.0323333334	164.677125	0	107.858	416.5995	15880.6924999994	1.7435	3.9915	7.096	2.6865	4.009	7.111	2.7225	1.5425	1.554	1.5145	1.46	12.1245	2.714	12.2105	119.9905	1.81	316.17
2_6_08_06	62.689	37.4675	19.3265	556.628	0	7.431	2.1215	12.8435	17.432	14.9115	37.918	0	1.807	7.9725	2.1515	1.815	8.1435	0	262.407	0	58.0025	10.3345	0	5.9685	2.382	231.8505	126.956	3.5355	1.5485	1.533	1.3785	1.382	1.674	1.485	1.6595	3.092	6.279	6.106	1.8615	1.1505	1.4545	1.273	370.0235	5.4045	4.4285	22.0545	16.6705	1.5245	3.781	30.879	20.0915	34.211	5.059	1.364	85.015	84.726	2.8055	5.141	2.4125	2.678	2.8845	3.7035	2.571	1.691	2.419	2.03025	1.2035	4.858	1.9005	3.0415	2.561	2.9445	91.30075	121.5705	3.1275	1.111	3.782	5.1294166667	1.591	5.2835	124.098	1.1775	1.3915	8.8225	2.994	6.586	10.0765	1.823	36.543	1.692	2.4185	2.777	2.592	2.7635	3.002	1.1685	1.2305	1.9175	2.36	3.155	2.911	1.4005	3.156	4.861	3.5925	1.2535	2.8375	6.3015	5.5629285714	4.2285	46.3785	72.195	38.8441666667	1.2715	1.354	8.5875	1.601	1.748	13.0801666667	1.3693	1.2695	1.3535	52.946	1.096	1.2675	1.27525	1.28	8.2325	3.218	4.8435	2.475	1.3655	2.8406	5.9405	5.953	2.1375	2.570125	1.3465	3.636	1.22	2.4825	9.065	10.39	23.8856666667	17.11275	14.9695	3.426	5.623	9.193	1.5765	1.936	2.063	1.9295	1.9175	2.081	1.926	1.2895	1.33	1.371	1.2825	2.226	1.7385	10.58	9.2025	1.6405	3.481
